24305,ARTH 255 - 01,Twentieth-Century Chinese Art,11,9 / 20,Jewett Art Center 450,09:50 am - 11:00 am,MTh,Heping Liu,,ARS,More
24306,ARTH 259 - 01,Art & Arch.Europ.Enlightenment,20,0 / 20,Jewett Art Center 450,01:30 pm - 02:40 pm,MTh,Elizabeth Oliver,,ARS,More
24307,ARTH 299 - 01,History of the Book,11,1 / 12,Clapp Library 417,09:50 am - 11:00 am,TF,Ruth Rogers,,ARS,More
23420,ARTH 309 - 01,Sem:Tpc: Woman & Modern House,13,0 / 13,Jewett Art Center 454,02:15 pm - 04:45 pm,W,Alice Friedman,,ARS,More
24509,ARTH 330 - 01,Sem:Tpc: Michelangelo,8,5 / 13,Jewett Art Center 454,09:50 am - 12:20 pm,W,Jacqueline Musacchio,,ARS,More
24308,ARTH 341 - 01,Sem: Landscape Painting,8,5 / 13,Jewett Art Center 454,06:00 pm - 08:30 pm,Th,Heping Liu,,ARS,More
20043,ARTS 105 - 01,Drawing I,11,7 / 18,Pendleton Hall West 202,09:50 am - 12:20 pm,MTh,Alexandria Smith,,ARS,More
20052,ARTS 105 - 02,Drawing I,18,0 / 18,Pendleton Hall West 202,09:50 am - 12:20 pm,TF,Carlos Dorrien,,ARS,More
20054,ARTS 108 - 01,Photography I,13,1 / 14,Jewett Art Center 457,01:30 pm - 04:00 pm,TF,,,ARS,More
24484,ARTS 109 - 01,Basic 2-D Design,18,0 / 18,Pendleton Hall West 102,09:50 am - 12:20 pm,TF,David Olsen,,ARS,More
24309,ARTS 113 - 01,Basic 3-D Design,15,0 / 15,Pendleton Hall West 102,09:50 am - 12:20 pm,MTh,Andrew Mowbray,,ARS,More
20263,ARTS 165 - 01,Intro to Moving Image,0,12 / 12,Pendleton Hall West 309,06:30 pm - 09:00 pm,MTh,Jesse Green,,ARS,More
23917,ARTS 216 - 01,Spatial Investigations,12,3 / 15,Pendleton Hall West 203,01:30 pm - 04:00 pm,MTh,Andrew Mowbray,,ARS,More
20718,ARTS 217 - 01,Life Drawing,16,2 / 18,Pendleton Hall West 208  Pendleton Hall West 208,06:00 pm - 08:30 pm 02:15 pm - 04:45 pm,W W,Daniela Rivera,,ARS,More
24485,ARTS 218 - 01,Intro Painting,6,9 / 15,Jewett Art Center 244,01:30 pm - 04:00 pm,MTh,Alexandria Smith,,ARS,More
23427,ARTS 221 - 01,Digital Imaging,16,0 / 10,Jewett Art Center 247,01:30 pm - 04:00 pm,TF,David Olsen,,ARS,More
20486,ARTS 307 - 01,Advanced Sculpture,4,14 / 18,Pendleton Hall West 106,01:30 pm - 04:00 pm,TF,Carlos Dorrien,,ARS,More
23905,ARTS 308 - 01,Photography III,3,12 / 15,Pendleton Hall West 309,09:50 am - 12:20 pm,TF,,,ARS,More
21137,ARTS 315 - 01,Advanced Painting,6,9 / 15,Pendleton Hall West 211,12:30 pm - 05:20 pm,Th,Daniela Rivera,,ARS,More
24475,ARTS 323 - 01,Advanced Graphic Projects,6,6 / 12,Pendleton Hall West 312,06:30 pm - 09:00 pm,MTh,Phyllis McGibbon,,ARS,More
20858,ASTR 101 - 01,"Intro to Stars,Galaxies,Cosmol",36,0 / 36,Observatory 114,08:30 am - 09:40 am,MTh,Richard French,,"MM, NPS",More
24554,ASTR 101 - 02,"Intro to Stars,Galaxies,Cosmol",36,0 / 36,Observatory 114,11:10 am - 12:20 pm,MTh,Richard French,,"MM, NPS",More
